"1137-8204","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","A Parte Rei (Sociedad de Estudios Filosóficos ""Juan Blanco"")","B3",2008
"1807-9792","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Abstracta : linguagem, mente e ação (Niterói)","B3",2008
"1809-3604","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Academos (São Bernardo do Campo)","B5",2008
"0329-9147","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Acheronta (En línea)","B1",2008
"1698-5486","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Acontecimiento (Madrid)","C ",2008
"0353-5150","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Acta Analytica","B1",2008
"0188-8145","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Acta Comportamentalia","B2",2008
"0355-1792","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Acta Philosophica Fennica","A2",2008
"1679-7361","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Acta Scientiarum. Human and Social Sciences (Impresso) (Cessou em 2007. Cont. ISSN 1983-4675 Acta Scientiarum. Language and Culture (Impresso))","B3",2008
"0102-4264","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Acta Semiótica et Linguística","B3",2008
"0095-3997","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Administration & Society","A2",2008
"1980-8224","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Adverbum (Campinas)","B5",2008
"1850-6267","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Afuera. Estudios de Crítica Cultural (En línea)","B5",2008
"1808-3307","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Agnes (PUCSP)","B4",2008
"1516-1498","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Ágora ( PPGTP/UFRJ)","B2",2008
"1414-0454","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Ágora (UNISC)","B5",2008
"1679-5385","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Ágora Filosófica (UNICAP. Impresso)","B5",2008
"1981-7827","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Aisthe (Online)","B3",2008
"1518-8728","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Alceu (PUCRJ)","B4",2008
"1808-5148","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Alegrar (Campinas)","C ",2008
"1679-3749","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Aletria (UFMG)","B2",2008
"1519-1893","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Alter (Rio de Janeiro)","B5",2008
"0104-8465","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Anais de Filosofia (UFSJ) (Cessou em 2002. Cont. ISSN 1982-9124 Estudos Filosóficos)","B5",2008
"1982-5323","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Anais de Filosofia Clássica (Online)","B3",2008
"1518-6520","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Analecta (UNICENTRO)","B5",2008
"0211-2337","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Anales del Seminario de Historia de la Filosofía","B3",2008
"1678-8087","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Análise & Síntese","B5",2008
"0870-3124","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Análise (Lisboa)","B3",2008
"1678-3468","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Analógos (PUCRJ)","B5",2008
"0003-2638","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Analysis (Oxford. Print)","A2",2008
"1414-3003","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Analytica (UFRJ)","B1",2008
"1984-3356","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Antíteses (Londrina)","B3",2008
"0096-3003","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Applied Mathematics and Computation","A1",2008
"1678-7846","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Aprender (Vitória da Conquista)","B5",2008
"1808-5733","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Aquinate (Niterói)","B5",2008
"1806-8774","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","ARBS. Annual Review of Biomedical Sciences (Online)","B5",2008
"0390-0592","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Archeologia Medievale","B2",2008
"0003-9101","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Archiv für Geschichte der Philosophie","A1",2008
"0003-9632","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Archives de Philosophie","A2",2008
"1769-681X","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Archives de Philosophie (En ligne)","A2",2008
"1806-5627","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Argumentos (Unimontes)","B5",2008
"1808-5326","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Arquipélago (Porto Alegre)","B5",2008
"1809-8274","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Artefilosofia (UFOP)","B2",2008
"0210-4466","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Asclepio (Madrid)","B3",2008
"1679-2378","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Athena (Curitiba)","C ",2008
"0392-1336","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Atti - Istituto Veneto di Scienze, Lettere ed Arti. Classe di Scienze Morali, Lettere ed Arti","B1",2008
"1982-6672","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Aurora (PUCSP. Online)","B5",2008
"1982-8004","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Aurora (UNESP. Marília)","B5",2008
"0004-8402","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Australasian Journal of Philosophy","A1",2008
"1982-0518","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Bagoas : Revista de Estudos Gays","C ",2008
"0104-6578","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Barbarói (UNISC. Impresso)","B4",2008
"0525-5708","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Barroco (Belo Horizonte)","B4",2008
"0140-525X","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Behavioral and Brain Sciences (Print)","A1",2008
"0166-4328","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Behavioural Brain Research","A1",2008
"1981-8254","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Bioethikós (Centro Universitário São Camilo)","B3",2008
"0104-1401","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Bioética (Brasília) (Cessou em 2006. Cont. ISSN 1983-8042 Revista Bioética (Impresso))","B5",2008
"0103-1643","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Biotemas (UFSC)","B5",2008
"0102-6968","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Boletim - Centro de Letras e Ciências Humanas (UEL)","B5",2008
"0872-3672","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Boletim da Sociedade Portuguesa de Matemática","B5",2008
"1677-8693","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Boletim do CPA (UNICAMP)","B4",2008
"0100-879X","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Brazilian Journal of Medical and Biological Research (Impresso)","A2",2008
"0960-8788","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","British Journal for the History of Philosophy (Print)","A2",2008
"1634-0639","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Bulletin Cartésien (En ligne)","B2",2008
"1299-3638","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Bulletin de l'Association des Amis de Gaston Bachelard","B3",2008
"0138-0680","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Bulletin of the Section of Logic","B1",2008
"1983-3113","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Caderno da ... Jornada do Centro Internacional de Estudos Peirceanos","B5",2008
"1983-0920","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Caderno de Resumos (Seminário Internacional Archai)","C ",2008
"1413-6597","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Cadernos Arquivo Edgard Leuenroth (UNICAMP)","C ",2008
"1518-0395","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Cadernos Camilliani","B5",2008
"1982-8977","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Cadernos da Escola da Magistratura Regional Federal da 2ª Região","C ",2008
"1517-0128","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Cadernos de Ética e Filosofia Política (USP)","B3",2008
"1517-1183","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Cadernos de Filosofia (Maringá)","B4",2008
"1413-7860","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Cadernos de Filosofia Alemã","B3",2008
"1516-5434","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Cadernos de Filosofia Contemporânea","B5",2008
"1809-7634","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Cadernos de História da Ciência","B5",2008
"0101-3424","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Cadernos de História e Filosofia da Ciência (UNICAMP)","B1",2008
"1809-1288","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Cadernos de Iniciação Filosófica","B5",2008
"1677-7166","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Cadernos de Pesquisa - Universidade Federal de Santa Catarina, Programa de Pós-Graduação em Sociologia Política","B5",2008
"1516-0793","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Cadernos de Pós-Graduação","B5",2008
"1413-6295","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Cadernos de Psicanálise (Círculo Psicanalítico/RJ)","B4",2008
"1413-6651","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Cadernos Espinosanos (USP)","B3",2008
"1807-7862","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Cadernos IHU em Formação (UNISINOS)","B5",2008
"1679-0316","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Cadernos IHU Idéias (UNISINOS)","B4",2008
"1678-2003","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Cadernos La Salle (Canoas)","B5",2008
"1413-7755","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Cadernos Nietzsche","B1",2008
"1517-5529","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Cadernos PET-Filosofia (UFPR)","B5",2008
"1983-6473","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Cadernos Sartre","B5",2008
"1807-0590","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Cadernos Teologia Pública (UNISINOS)","B5",2008
"1807-3972","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Cadernos UFS. Filosofia","B4",2008
"1677-2288","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Cadernos UFS. História","B5",2008
"1980-5608","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Cadernos UFS. Psicologia","B5",2008
"1518-5230","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Cadernos Wittgenstein (USP)","B5",2008
"0769-1548","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Cahier - Centre de Recherches sur l'Image le Symbole et le Mythe","B2",2008
"1292-2765","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Cahiers Gaston Bachelard","B3",2008
"0181-1126","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Cahiers Simone Weil (Paris)","B3",2008
"1676-3521","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Calíope (UFRJ)","B5",2008
"1678-3034","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Caminhos (UCG. Impresso)","B5",2008
"0045-5091","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Canadian Journal of Philosophy","A2",2008
"1679-3404","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","CASA (Araraquara)","C ",2008
"1983-165X","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Cavaqueira (União da Vitória)","C ",2008
"1554-6713","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Childhood & Philosophy","B5",2008
"1676-4188","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Ciência & Ambiente","B5",2008
"1413-8123","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Ciência e Saúde Coletiva (Impresso)","B3",2008
"0101-8515","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Ciência Hoje","C ",2008
"1806-5821","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Ciências & Cognição (UFRJ)","B4",2008
"0102-4868","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Ciências & Letras (FAPA. Impresso)","B5",2008
"1980-9425","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Ciências da Religião (Mackenzie. Online)","B5",2008
"1678-8192","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Ciências Humanas em Revista (UFMA)","B5",2008
"1983-0343","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Cinética","C ",2008
"0717-554X","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Cinta de Moebio","B5",2008
"1806-5880","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Círculo Católico de Pernambuco","C ",2008
"1519-6089","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Civitas: Revista de Ciências Sociais (Impresso)","B4",2008
"1471-6844","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Classical Quarterly (Online)","B1",2008
"0009-840X","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Classical Review","B1",2008
"1519-9614","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","CLE e-Prints (Impresso)","B2",2008
"1519-9681","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","CLE e-Prints (Online)","B2",2008
"1809-6549","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Cognição & Artes Musicais","B5",2008
"1518-7187","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Cognitio (PUCSP)","B1",2008
"1809-8428","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Cognitio-Estudos (PUC-SP. Online)","B3",2008
"0737-0008","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Cognition and Instruction","A2",2008
"1980-9433","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Coleção Multitextos","C ",2008
"1519-7654","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","ComCiência (UNICAMP)","B5",2008
"1676-3475","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Communicare (São Paulo)","B5",2008
"0101-305X","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Comum (FACHA)","B5",2008
"1809-564X","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Comunicação & Inovação","B5",2008
"0102-6925","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Comunicação & Política","B4",2008
"1677-0943","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Conexão (UCS)","B5",2008
"1808-6276","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Confraria (Rio de Janeiro)","B5",2008
"0103-1457","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Conjectura: Filosofia e Educação (UCB)","B5",2008
"1360-0494","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Connection Science (Online)","A2",2008
"0954-0091","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Connection Science (Print)","A2",2008
"0103-2364","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Consciência (FACEPAL)","B5",2008
"1809-1911","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Contempl@ção (FAJOPA)","B4",2008
"1806-0269","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Contemporanea (Salvador. Impresso)","B4",2008
"1519-0544","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Contexto (UFES)","B4",2008
"1806-0579","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Contexto Radial (São Paulo)","C ",2008
"1807-6440","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Contextura (UFMG)","B5",2008
"1414-7483","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Contracampo (UFF)","B5",2008
"1808-5253","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Controvérsia (UNISINOS)","B4",2008
"0296-8916","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Corpus (Paris)","B1",2008
"1749-8457","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Critica (London)","B4",2008
"0011-1503","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Crítica (México)","B1",2008
"1413-4004","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Crítica (UEL)","B4",2008
"0104-9321","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Critica Marxista (São Paulo)","B3",2008
"1999-8104","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Crítica y Emancipación","B3",2008
"1333-1108","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Croatian Journal of Philosophy","B1",2008
"1518-0689","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Cronos (Natal. Impresso)","B5",2008
"0716-9884","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Cuadernos de Filosofía (Concepción)","B5",2008
"1850-3667","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Cuadernos Filosóficos (Rosario)","B4",2008
"0210-4857","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Cuadernos Salmantinos de Filosofía","B4",2008
"1414-7076","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Cult (São Paulo)","C ",2008
"1981-0911","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Cultura Crítica","C ",2008
"1679-2556","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Cultura e Fé (Porto Alegre)","B4",2008
"0104-222X","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Cultura Vozes","B4",2008
"0907-0877","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Cybernetics & Human Knowing","A2",2008
"1517-445X","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Daseinsanalyse (São Paulo)","B4",2008
"1806-2741","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Desígnio (São Paulo)","B5",2008
"0012-1045","FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA        ","Deutsche Zeitschrift fur Philosophie (Print)","A1",2008
