"1519-9800","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Acta Científica. Ciências Humanas","C ",2008
"1808-3307","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Agnes (PUCSP)","B4",2008
"1679-5385","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Ágora Filosófica (UNICAP. Impresso)","B4",2008
"1518-8728","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Alceu (PUCRJ)","B5",2008
"1094-6098","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","American Journal of Pastoral Counseling (Cessou em 2006. Cont. ISSN 1934-9637 Journal of Spirituality in Mental Health)","B1",2008
"1850-4671","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Anatéllei (Córdoba)","B4",2008
"1980-9824","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Âncora (Instituto Âncora de Ensino. Online)","B5",2008
"0101-191X","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Ângulo (FATEA. Impresso)","B5",2008
"0257-9774","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Anthropos (Fribourg)","B1",2008
"1695-9752","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Antropólogos Iberoamericanos en Red (Ed. Impresa)","B4",2008
"1133-0104","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Anuario de Historia de la Iglesia","B2",2008
"0102-8731","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Anuário Evangélico","B5",2008
"0326-9671","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Anuario IEHS","C ",2008
"1881-3488","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Asian Christian Review","B2",2008
"1676-3742","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Atualidade Teológica (PUCRJ)","B3",2008
"0104-1401","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Bioética (Brasília) (Cessou em 2006. Cont. ISSN 1983-8042 Revista Bioética (Impresso))","B4",2008
"1806-2911","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Caderno de Literatura e Cultura Russa","B5",2008
"1519-0951","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Cadernos ADENAUER (São Paulo)","B4",2008
"1806-7328","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Cadernos da ESTEF","B4",2008
"0104-1371","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Cadernos de Educação (UFPel)","B4",2008
"1517-0128","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Cadernos de Ética e Filosofia Política (USP)","B3",2008
"1980-0339","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Cadernos de História (UFOP. Mariana)","B5",2008
"1676-1049","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Cadernos de Psicopedagogia (UNISA. Impresso)","B4",2008
"1806-003X","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Cadernos IHU (UNISINOS)","B5",2008
"1807-7862","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Cadernos IHU em Formação (UNISINOS)","B5",2008
"1679-0316","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Cadernos IHU Idéias (UNISINOS)","B4",2008
"1980-010X","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Cadernos Patrísticos","B5",2008
"1807-0590","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Cadernos Teologia Pública (UNISINOS)","B4",2008
"0871-9527","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Cadmo (Lisboa)","B4",2008
"0181-1126","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Cahiers Simone Weil (Paris)","B4",2008
"1519-7018","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Caminhando (São Bernardo do Campo)","B5",2008
"1677-860X","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Caminhando com o Itepa","B5",2008
"1678-3034","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Caminhos (UCG. Impresso)","B4",2008
"0101-4315","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Carta Mensal - Conselho Técnico da Confederação Nacional do Comércio","C ",2008
"0009-5834","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Christus (Compagnie de Jésus)","B4",2008
"1809-2888","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Ciberteologia (São Paulo. Edição em Português)","B4",2008
"0100-1965","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Ciência da Informação (Impresso)","B4",2008
"0009-6725","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Ciência e Cultura","B4",2008
"1678-5274","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Ciências da Religião (Mackenzie. Impresso)","B4",2008
"1980-9425","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Ciências da Religião (Mackenzie. Online)","B4",2008
"1678-8192","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Ciências Humanas em Revista (UFMA)","B5",2008
"1519-7050","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Ciências Sociais Unisinos","B4",2008
"1518-4463","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Ciencias Sociales y Religión (Impresso)","B3",2008
"1806-5880","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Círculo Católico de Pernambuco","B5",2008
"1519-6089","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Civitas: Revista de Ciências Sociais (Impresso)","B4",2008
"1980-9433","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Coleção Multitextos","B4",2008
"1677-7883","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Coletânea (Rio de Janeiro)","B5",2008
"0871-4134","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Communio (Lisboa)","B3",2008
"0101-7942","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Communio (Rio de Janeiro)","B3",2008
"0010-3713","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Communio Viatorum","B1",2008
"1519-7204","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Conceitos (João Pessoa)","B5",2008
"0588-9804","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Concilium (Deutsche Ausg.)","B1",2008
"1125-7164","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Concilium (Ed. Italiana)","B1",2008
"0210-1041","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Concilium (Estella)","B1",2008
"0010-8162","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Convergencia (Rio de Janeiro. 1968)","C ",2008
"1677-2644","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Correlatio (Online)","B3",2008
"0120-131X","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Cuestiones Teologicas","B5",2008
"1414-7076","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Cult (São Paulo)","C ",2008
"1679-2556","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Cultura e Fé (Porto Alegre)","B3",2008
"1550-4891","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Cultural Encounters","B5",2008
"0098-2113","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Currents in Theology and Mission","A2",2008
"1519-843X","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Debates do NER (UFRGS. Impresso)","B4",2008
"0012-2033","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Dialog (Print)","B4",2008
"1413-0076","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Diálogo (São Paulo)","C ",2008
"0185-3872","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","DIDAC (México, D.F.)","B4",2008
"0943-2183","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Die Evangelische Diaspora","C ",2008
"1807-3883","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Dois Pontos (UFPR)","B3",2008
"1517-1949","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Eccos Revista Científica (Impresso)","B5",2008
"1518-188X","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Ecos Revista","C ",2008
"1415-9902","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Educação & Linguagem","B5",2008
"0104-4346","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Educacao & Mudanca (Faculdade de Filosofia Bernardo Sayão)","B4",2008
"0101-465X","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Educação (PUCRS. Impresso)","B5",2008
"1807-2194","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Educação e Cultura Contemporânea","B4",2008
"0102-4698","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Educação em Revista (UFMG. Impresso)","B5",2008
"0103-7420","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Em Pauta (UFRGS. Impresso)","B5",2008
"1518-2789","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Encontros do Religare (UFPB)","B4",2008
"1346-5058","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Encontros Lusófonos","C ",2008
"1415-4471","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Encontros Teológicos (Florianópolis)","B5",2008
"0104-7469","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Espaço Pedagógico","B5",2008
"1677-4833","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Espaços (São Paulo)","C ",2008
"0718-5014","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Estudios Avanzados (En línea)","B4",2008
"0718-4999","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Estudios Avanzados Interactivos (Cessou em 2006. Cont. ISSN 0718-5022 Estudios Avanzados (Imprensa))","B4",2008
"0103-4014","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Estudos Avançados (USP. Impresso)","B5",2008
"1676-4951","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Estudos Bíblicos","B5",2008
"0103-801X","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Estudos de Religiao (IMS)","B2",2008
"0101-3130","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Estudos Teológicos","B2",2008
"1414-3917","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Ética e Filosofia Política","B5",2008
"0014-1941","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Études (1945)","B4",2008
"1517-5863","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Fides Reformata (Impresso)","B5",2008
"1809-9238","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Filosofia (São Paulo)","B5",2008
"1519-5023","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Filosofia Unisinos (Impresso)","B2",2008
"1414-9494","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Fragmentos de Cultura (Goiânia)","B5",2008
"1981-1268","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Gaia Scientia (UFPB)","B5",2008
"1414-7319","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Grande Sinal (Petrópolis)","B5",2008
"0017-4114","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Gregorianum (Roma)","A2",2008
"1678-6475","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Habitus (UCG. Impresso)","B5",2008
"0101-9074","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","História (UNESP. Impresso) (Cessou em 2004)","B2",2008
"1519-3861","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","História Unisinos","B3",2008
"1679-9615","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Horizonte (Belo Horizonte)","B4",2008
"1677-440X","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Horizonte Teológico","B5",2008
"0104-7183","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Horizontes Antropológicos (UFRGS. Impresso)","B1",2008
"1413-9138","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Hypnos (PUCSP)","B2",2008
"1980-5837","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Ibérica (Juiz de Fora)","B5",2008
"1676-9570","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Identidade!","B5",2008
"0103-779X","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Igreja Luterana","B4",2008
"1981-8769","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","IHU On-Line (UNISINOS. Impresso)","B5",2008
"1980-2579","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Incertezas (Faculdade Teológica Evangélica do Rio de Janeiro)","C ",2008
"1679-9437","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Inclusividade (Centro de Estudos Anglicanos)","B5",2008
"1982-3991","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Integração (Porto Alegre)","C ",2008
"1676-7640","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Intellèctus (UERJ. Online)","B5",2008
"1809-8479","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Interações : Cultura e Comunidade (Faculdade Católica de Uberlândia. Impresso)","B5",2008
"1431-8954","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Intercultural Pastoral Care and Counselling","B3",2008
"1679-5407","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Interlocuções (UNICAP)","C ",2008
"1872-5171","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","International Journal of Public Theology (Print)","B4",2008
"0020-8582","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","International Review of Mission","B2",2008
"1517-7807","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Itaici (São Paulo)","B5",2008
"0304-1042","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Japanese Journal of Religious Studies","B1",2008
"0142-064X","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Journal for the Study of the New Testament","B1",2008
"8755-4178","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Journal of Feminist Studies in Religion","A2",2008
"1527-6457","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Journal of Global Buddhism","B2",2008
"0022-197X","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Journal of International Affairs (New York)","B3",2008
"1089-6457","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Journal of Sandplay Therapy","B5",2008
"1809-2454","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Kerygma (Engenheiro Coelho)","B5",2008
"0210-0533","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","La Vida Sobrenatural","B5",2008
"1619-1684","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Lateinamerika-Analysen (Cessou em 2008. Cont. ISSN 1866-802X Journal of Politics in Latin America (Print))","B3",2008
"1807-5193","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Letra Magna","B5",2008
"1413-3024","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Locus (UFJF)","B5",2008
"0103-9512","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Lumen (Recife)","B5",2008
"1516-1285","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Lumen (São Paulo)","B5",2008
"0024-7499","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Lutheran Quarterly (Gettysburg. 1949) (Cessou em 1977)","B1",2008
"0342-0914","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Lutherjahrbuch","B4",2008
"1025-2290","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","LWF Studies","B4",2008
"1676-7748","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Magis. Cadernos de Fé e Cultura","B5",2008
"0104-9313","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Mana (UFRJ. Impresso)","B1",2008
"1517-0241","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Mandrágora (São Bernardo do Campo)","B4",2008
"0214-2457","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Manresa (Madrid)","B2",2008
"1807-927X","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Margens (ABEP. Online)","B4",2008
"1806-3802","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Memória & Caminhada (UCB)","B4",2008
"0943-3058","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Method & Theory in the Study of Religion","B3",2008
"1518-0263","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Missioneira (Santo Ângelo)","B5",2008
